canonical_id,source,class_folder,n_images,top_cross_source_match,top_cross_source_cosine,second_cross_source_match,second_cosine,needs_review
39,bdsl49_recognition,27,60,bdsl47_letters:Sign 2,0.7216,bdsl47_letters:Sign 12,0.6965,1
39,bdsl49_recognition,46,60,bdsl47_letters:Sign 2,0.6835,bdsl47_letters:Sign 24,0.6723,1
40,bdsl49_recognition,21,60,bdsl47_letters:Sign 22,0.7078,bdsl47_letters:Sign 2,0.6999,1
41,bdsl49_recognition,24,60,bdsl47_letters:Sign 23,0.7557,bdsl47_letters:Sign 22,0.7416,1
42,bdsl49_recognition,25,60,bdsl47_letters:Sign 22,0.7471,bdsl47_letters:Sign 12,0.7430,1
42,bdsl49_recognition,7,60,bdsl47_letters:Sign 22,0.7435,bdsl47_letters:Sign 8,0.7416,1
43,bdsl49_recognition,26,60,bdsl47_letters:Sign 30,0.8173,bdsl47_letters:Sign 31,0.8171,1
43,bdsl49_recognition,28,60,bdsl47_letters:Sign 31,0.8445,bdsl47_letters:Sign 17,0.8299,1
43,bdsl49_recognition,29,60,bdsl47_letters:Sign 31,0.8265,bdsl47_letters:Sign 30,0.8107,1
43,bdsl49_recognition,30,60,bdsl47_letters:Sign 31,0.8333,bdsl47_letters:Sign 30,0.8227,1
43,bdsl49_recognition,31,60,bdsl47_letters:Sign 17,0.8066,bdsl47_letters:Sign 31,0.8004,1
44,bdsl49_recognition,32,60,bdsl47_digits:Sign 4,0.8307,bdsl47_letters:Sign 30,0.8238,1
45,bdsl49_recognition,33,60,bdsl47_letters:Sign 2,0.6972,bdsl47_letters:Sign 24,0.6828,1
46,bdsl49_recognition,35,60,bdsl47_letters:Sign 22,0.6629,bdsl47_letters:Sign 5,0.6416,1
47,bdsl49_recognition,36,60,bdsl47_letters:Sign 12,0.7589,bdsl47_letters:Sign 22,0.7441,1
48,bdsl49_recognition,37,60,bdsl47_letters:Sign 3,0.7579,bdsl47_letters:Sign 22,0.7570,1
48,bdsl49_recognition,42,60,bdsl47_letters:Sign 2,0.7587,bdsl47_letters:Sign 22,0.7475,1
49,bdsl49_recognition,38,60,bdsl47_letters:Sign 31,0.8209,bdsl47_letters:Sign 15,0.8113,1
49,bdsl49_recognition,39,60,bdsl47_letters:Sign 31,0.8394,bdsl47_digits:Sign 3,0.8230,1
50,bdsl49_recognition,43,60,bdsl_mnist:21,0.7086,bdsl47_letters:Sign 3,0.7083,1
51,bdsl49_recognition,45,60,bdsl47_digits:Sign 1,0.7426,bdsl47_letters:Sign 35,0.7395,1
52,bdsl49_recognition,47,60,bdsl47_letters:Sign 34,0.6078,bdsl47_letters:Sign 29,0.6072,1
53,bdsl49_recognition,48,60,bdsl47_letters:Sign 23,0.6958,bdsl47_letters:Sign 22,0.6910,1
54,bdsl49_recognition,8,60,bdsl47_letters:Sign 22,0.7706,bdsl47_letters:Sign 23,0.7524,1
